,Name,Stage,Generation,Type1,Legendary/Mythical,Final Score
47,Venonat,0.0,1.0,Bug,N,2.38
48,Venomoth,1.0,1.0,Bug,N,2.2
49,Diglett,0.0,1.0,Ground,N,2.88
50,Dugtrio,1.0,1.0,Ground,N,2.2
51,Meowth,0.0,1.0,Normal,N,3.5
52,Persian,1.0,1.0,Normal,N,3.4
53,Psyduck,0.0,1.0,Water,N,2.88
54,Golduck,1.0,1.0,Water,N,3.4
55,Mankey,0.0,1.0,Fighting,N,0.88
56,Primeape,1.0,1.0,Fighting,N,0.8
57,Growlithe,0.0,1.0,Fire,N,5
58,Arcanine,1.0,1.0,Fire,N,5
59,Poliwag,0.0,1.0,Water,N,3.75
60,Poliwhirl,1.0,1.0,Water,N,4.2
61,Poliwrath,2.0,1.0,Water,N,3.5
62,Abra,0.0,1.0,Psychic,N,3
63,Kadabra,1.0,1.0,Psychic,N,2
64,Alakazam,2.0,1.0,Psychic,N,2.6
65,Machop,0.0,1.0,Fighting,N,2.5
66,Machoke,1.0,1.0,Fighting,N,3.6
67,Machamp,2.0,1.0,Fighting,N,3.2
68,Bellsprout,0.0,1.0,Grass,N,2.5
69,Weepinbell,1.0,1.0,Grass,N,1.6
70,Victreebel,2.0,1.0,Grass,N,2.6
71,Tentacool,0.0,1.0,Water,N,1.75
72,Tentacruel,1.0,1.0,Water,N,3
73,Geodude,0.0,1.0,Rock,N,2.5
74,Graveler,1.0,1.0,Rock,N,2.6
75,Golem,2.0,1.0,Rock,N,1.2
76,Ponyta,0.0,1.0,Fire,N,3.5
77,Rapidash,1.0,1.0,Fire,N,3.5
78,Slowpoke,0.0,1.0,Water,N,3
79,Slowbro,1.0,1.0,Water,N,3.2
80,Magnemite,0.0,1.0,Electric,N,2.5
81,Magneton,1.0,1.0,Electric,N,2.4
82,Farfetch'd,0.0,1.0,Normal,N,2.75
83,Doduo,0.0,1.0,Normal,N,3.75
84,Dodrio,1.0,1.0,Normal,N,3.6
85,Seel,0.0,1.0,Water,N,4
86,Dewgong,1.0,1.0,Water,N,4.5
87,Grimer,0.0,1.0,Poison,N,2.5
88,Muk,1.0,1.0,Poison,N,1.3
89,Shellder,0.0,1.0,Water,N,2
90,Cloyster,1.0,1.0,Water,N,1.6
91,Gastly,0.0,1.0,Ghost,N,2.5
92,Haunter,1.0,1.0,Ghost,N,3.8
93,Gengar,2.0,1.0,Ghost,N,3.8
94,Onix,0.0,1.0,Rock,N,3.13
95,Drowzee,0.0,1.0,Psychic,N,1
96,Hypno,1.0,1.0,Psychic,N,0.8
97,Krabby,0.0,1.0,Water,N,2.13
98,Kingler,1.0,1.0,Water,N,1.5
99,Voltorb,0.0,1.0,Electric,N,2
100,Electrode,1.0,1.0,Electric,N,2.1
101,Exeggcute,0.0,1.0,Grass,N,1
102,Exeggutor,1.0,1.0,Grass,N,0.9
103,Cubone,0.0,1.0,Ground,N,5
104,Marowak,1.0,1.0,Ground,N,4
105,Hitmonlee,1.0,1.0,Fighting,N,2.25
106,Hitmonchan,1.0,1.0,Fighting,N,3.13
107,Lickitung,0.0,1.0,Normal,N,3.25
108,Koffing,0.0,1.0,Poison,N,1.63
109,Weezing,1.0,1.0,Poison,N,1.63
110,Rhyhorn,0.0,1.0,Ground,N,4
111,Rhydon,1.0,1.0,Ground,N,3.4
112,Chansey,1.0,1.0,Normal,N,2.75
113,Tangela,0.0,1.0,Grass,N,3.38
114,Kangaskhan,0.0,1.0,Normal,N,4.38
115,Horsea,0.0,1.0,Water,N,4.25
116,Seadra,1.0,1.0,Water,N,3.75
117,Goldeen,0.0,1.0,Water,N,2.25
118,Seaking,1.0,1.0,Water,N,3.1
119,Staryu,0.0,1.0,Water,N,2.88
120,Starmie,1.0,1.0,Water,N,2.9
121,Mr. Mime,1.0,1.0,Psychic,N,1
122,Scyther,0.0,1.0,Bug,N,3.25
123,Jynx,1.0,1.0,Ice,N,0.88
124,Electabuzz,1.0,1.0,Electric,N,1
125,Magmar,1.0,1.0,Fire,N,1
126,Pinsir,0.0,1.0,Bug,N,0.88
127,Tauros,0.0,1.0,Normal,N,3.13
128,Magikarp,0.0,1.0,Water,N,4
129,Gyarados,1.0,1.0,Water,N,4.8
130,Lapras,0.0,1.0,Water,N,5
131,Ditto,0.0,1.0,Normal,N,3.5
132,Eevee,0.0,1.0,Normal,N,4.8
133,Vaporeon,1.0,1.0,Water,N,4.25
134,Jolteon,1.0,1.0,Electric,N,5
135,Flareon,1.0,1.0,Fire,N,2.9
136,Porygon,0.0,1.0,Normal,N,2.75
137,Omanyte,0.0,1.0,Rock,N,4
138,Omastar,1.0,1.0,Rock,N,1.4
139,Kabuto,0.0,1.0,Rock,N,1.88
140,Kabutops,1.0,1.0,Rock,N,1.6
141,Aerodactyl,0.0,1.0,Rock,N,3.13
142,Snorlax,1.0,1.0,Normal,N,3.25
143,Articuno,0.0,1.0,Ice,Y,4
144,Zapdos,0.0,1.0,Electric,Y,4.25
145,Moltres,0.0,1.0,Fire,Y,1.75
146,Dratini,0.0,1.0,Dragon,N,4
147,Dragonair,1.0,1.0,Dragon,N,4.2
148,Dragonite,2.0,1.0,Dragon,N,3.7
149,Mewtwo,0.0,1.0,Psychic,Y,4
150,Mew,0.0,1.0,Psychic,Y,4.3
151,Chikorita,0.0,2.0,Grass,N,3.25
152,Bayleef,1.0,2.0,Grass,N,3.6
153,Meganium,2.0,2.0,Grass,N,3.6
154,Cyndaquil,0.0,2.0,Fire,N,4.75
155,Quilava,1.0,2.0,Fire,N,4.8
156,Typhlosion,2.0,2.0,Fire,N,5
157,Totodile,0.0,2.0,Water,N,4
158,Croconaw,1.0,2.0,Water,N,2.5
159,Feraligatr,2.0,2.0,Water,N,3.7
160,Sentret,0.0,2.0,Normal,N,4.25
161,Furret,1.0,2.0,Normal,N,4.4
162,Hoothoot,0.0,2.0,Normal,N,2
163,Noctowl,1.0,2.0,Normal,N,2.7
164,Ledyba,0.0,2.0,Bug,N,3.5
165,Ledian,1.0,2.0,Bug,N,2.6
166,Spinarak,0.0,2.0,Bug,N,2
167,Ariados,1.0,2.0,Bug,N,1.6
168,Crobat,2.0,2.0,Poison,N,3.6
169,Chinchou,0.0,2.0,Water,N,3.75
170,Lanturn,1.0,2.0,Water,N,3.25
171,Pichu,0.0,2.0,Electric,N,4.6
172,Cleffa,0.0,2.0,Fairy,N,3.38
173,Igglybuff,0.0,2.0,Normal,N,2.9
174,Togepi,0.0,2.0,Fairy,N,4.75
175,Togetic,1.0,2.0,Fairy,N,4
176,Natu,0.0,2.0,Psychic,N,2.63
177,Xatu,1.0,2.0,Psychic,N,2.3
178,Mareep,0.0,2.0,Electric,N,4
179,Flaaffy,1.0,2.0,Electric,N,3.6
180,Ampharos,2.0,2.0,Electric,N,3.7
181,Bellossom,2.0,2.0,Grass,N,3.6
182,Marill,1.0,2.0,Water,N,3.75
183,Azumarill,2.0,2.0,Water,N,3.6
184,Sudowoodo,1.0,2.0,Rock,N,3.25
185,Politoed,2.0,2.0,Water,N,3.5
186,Hoppip,0.0,2.0,Grass,N,3.25
187,Skiploom,1.0,2.0,Grass,N,3.5
188,Jumpluff,2.0,2.0,Grass,N,2.4
189,Aipom,0.0,2.0,Normal,N,2.75
190,Sunkern,0.0,2.0,Grass,N,2.5
191,Sunflora,1.0,2.0,Grass,N,2
192,Yanma,1.0,2.0,Bug,N,1.75
193,Wooper,0.0,2.0,Water,N,4.5
194,Quagsire,1.0,2.0,Water,N,4.38
195,Espeon,1.0,2.0,Psychic,N,3
196,Umbreon,1.0,2.0,Dark,N,4.25
197,Murkrow,0.0,2.0,Dark,N,2.5
198,Slowking,1.0,2.0,Water,N,1.2
199,Misdreavus,0.0,2.0,Ghost,N,3.25
200,Unown,0.0,2.0,Psychic,N,2.3
201,Wobbuffet,1.0,2.0,Psychic,N,2.8
202,Girafarig,0.0,2.0,Normal,N,3.25
203,Pineco,0.0,2.0,Bug,N,1
204,Forretress,1.0,2.0,Bug,N,1.8
205,Dunsparce,1.0,2.0,Normal,N,2.75
206,Gligar,0.0,2.0,Ground,N,3.25
207,Steelix,1.0,2.0,Steel,N,2.6
208,Snubbull,0.0,2.0,Fairy,N,2.75
209,Granbull,1.0,2.0,Fairy,N,1.8
210,Qwilfish,0.0,2.0,Water,N,1
211,Scizor,1.0,2.0,Bug,N,3.8
212,Shuckle,0.0,2.0,Bug,N,3.75
213,Heracross,0.0,2.0,Bug,N,4
214,Sneasel,0.0,2.0,Dark,N,3.5
215,Teddiursa,0.0,2.0,Normal,N,3.75
216,Ursaring,1.0,2.0,Normal,N,3.25
217,Slugma,0.0,2.0,Fire,N,2.75
218,Magcargo,1.0,2.0,Fire,N,2.9
219,Swinub,0.0,2.0,Ice,N,1.38
220,Piloswine,1.0,2.0,Ice,N,1.6
221,Corsola,0.0,2.0,Water,N,3.75
222,Remoraid,0.0,2.0,Water,N,2.25
223,Octillery,1.0,2.0,Water,N,2
224,Delibird,0.0,2.0,Ice,N,2
225,Mantine,1.0,2.0,Water,N,4.5
226,Skarmory,0.0,2.0,Steel,N,1.88
227,Houndour,0.0,2.0,Dark,N,4.25
228,Houndoom,1.0,2.0,Dark,N,3.4
229,Kingdra,2.0,2.0,Water,N,3.25
230,Phanpy,0.0,2.0,Ground,N,3.63
231,Donphan,1.0,2.0,Ground,N,3.25
232,Porygon2,1.0,2.0,Normal,N,3.1
233,Stantler,0.0,2.0,Normal,N,1.25
234,Smeargle,0.0,2.0,Normal,N,1
235,Tyrogue,0.0,2.0,Fighting,N,2.2
236,Hitmontop,1.0,2.0,Fighting,N,2.88
237,Smoochum,0.0,2.0,Ice,N,1.8
238,Elekid,0.0,2.0,Electric,N,2.6
239,Magby,0.0,2.0,Fire,N,3.4
240,Miltank,0.0,2.0,Normal,N,1.5
241,Blissey,2.0,2.0,Normal,N,3.4
242,Raikou,0.0,2.0,Electric,Y,5
243,Entei,0.0,2.0,Fire,Y,4.4
244,Suicune,0.0,2.0,Water,Y,4.6
245,Larvitar,0.0,2.0,Rock,N,2.75
246,Pupitar,1.0,2.0,Rock,N,1.8
247,Tyranitar,2.0,2.0,Rock,N,3.6
248,Lugia,0.0,2.0,Psychic,Y,4.6
249,Ho-oh,0.0,2.0,Fire,Y,3.8
250,Celebi,0.0,2.0,Psychic,Y,3.8
251,Treecko,0.0,3.0,Grass,N,3.63
252,Grovyle,1.0,3.0,Grass,N,3.7
253,Sceptile,2.0,3.0,Grass,N,4
254,Torchic,0.0,3.0,Fire,N,4.63
255,Combusken,1.0,3.0,Fire,N,2.6
256,Blaziken,2.0,3.0,Fire,N,3.8
257,Mudkip,0.0,3.0,Water,N,5
258,Marshtomp,1.0,3.0,Water,N,4.3
259,Swampert,2.0,3.0,Water,N,5
260,Poochyena,0.0,3.0,Dark,N,4.25
261,Mightyena,1.0,3.0,Dark,N,3.2
262,Zigzagoon,0.0,3.0,Normal,N,4.5
263,Linoone,1.0,3.0,Normal,N,2.6
264,Wurmple,0.0,3.0,Bug,N,3.5
265,Silcoon,1.0,3.0,Bug,N,2.6
266,Beautifly,2.0,3.0,Bug,N,4
267,Cascoon,1.0,3.0,Bug,N,2.6
268,Dustox,2.0,3.0,Bug,N,2.6
269,Lotad,0.0,3.0,Water,N,3.25
270,Lombre,1.0,3.0,Water,N,1.8
271,Ludicolo,2.0,3.0,Water,N,2.4
272,Seedot,0.0,3.0,Grass,N,2.25
273,Nuzleaf,1.0,3.0,Grass,N,1.6
274,Shiftry,2.0,3.0,Grass,N,0.9
275,Taillow,0.0,3.0,Normal,N,3.25
276,Swellow,1.0,3.0,Normal,N,3.3
277,Wingull,0.0,3.0,Water,N,4
278,Pelipper,1.0,3.0,Water,N,3
279,Ralts,0.0,3.0,Psychic,N,4.25
280,Kirlia,1.0,3.0,Psychic,N,4.4
281,Gardevoir,2.0,3.0,Psychic,N,4
282,Surskit,0.0,3.0,Bug,N,2.5
283,Masquerain,1.0,3.0,Bug,N,2.5
284,Shroomish,0.0,3.0,Grass,N,2
285,Breloom,1.0,3.0,Grass,N,2.4
286,Slakoth,0.0,3.0,Normal,N,2.5
287,Vigoroth,1.0,3.0,Normal,N,1.75
288,Slaking,2.0,3.0,Normal,N,0.9
289,Nincada,0.0,3.0,Bug,N,2.75
290,Ninjask,1.0,3.0,Bug,N,3
291,Shedinja,1.0,3.0,Bug,N,3.2
292,Whismur,0.0,3.0,Normal,N,2.75
293,Loudred,1.0,3.0,Normal,N,0.9
294,Exploud,2.0,3.0,Normal,N,1.2
295,Makuhita,0.0,3.0,Fighting,N,1.5
296,Hariyama,1.0,3.0,Fighting,N,1
297,Azurill,0.0,3.0,Normal,N,4.1
298,Nosepass,0.0,3.0,Rock,N,1.63
299,Skitty,0.0,3.0,Normal,N,4.75
300,Delcatty,1.0,3.0,Normal,N,4
301,Sableye,0.0,3.0,Dark,N,3.25
302,Mawile,0.0,3.0,Steel,N,3.5
303,Aron,0.0,3.0,Steel,N,4.63
304,Lairon,1.0,3.0,Steel,N,4.7
305,Aggron,2.0,3.0,Steel,N,4.3
306,Meditite,0.0,3.0,Fighting,N,3.25
307,Medicham,1.0,3.0,Fighting,N,1.1
308,Electrike,0.0,3.0,Electric,N,4.5
309,Manectric,1.0,3.0,Electric,N,2.8
310,Plusle,0.0,3.0,Electric,N,4
311,Minun,0.0,3.0,Electric,N,4
312,Volbeat,0.0,3.0,Bug,N,1.25
313,Illumise,0.0,3.0,Bug,N,1.5
314,Roselia,1.0,3.0,Grass,N,4
315,Gulpin,0.0,3.0,Poison,N,2
316,Swalot,1.0,3.0,Poison,N,2
317,Carvanha,0.0,3.0,Water,N,2.63
318,Sharpedo,1.0,3.0,Water,N,4.4
319,Wailmer,0.0,3.0,Water,N,3.75
320,Wailord,1.0,3.0,Water,N,3.9
321,Numel,0.0,3.0,Fire,N,1.75
322,Camerupt,1.0,3.0,Fire,N,1.5
323,Torkoal,0.0,3.0,Fire,N,3.25
324,Spoink,0.0,3.0,Psychic,N,3.75
325,Grumpig,1.0,3.0,Psychic,N,1.3
326,Spinda,0.0,3.0,Normal,N,3.38
327,Trapinch,0.0,3.0,Ground,N,3.75
328,Vibrava,1.0,3.0,Ground,N,3.25
329,Flygon,2.0,3.0,Ground,N,3.8
330,Cacnea,0.0,3.0,Grass,N,2.75
331,Cacturne,1.0,3.0,Grass,N,1.5
332,Swablu,0.0,3.0,Normal,N,4.25
333,Altaria,1.0,3.0,Dragon,N,4.3
334,Zangoose,0.0,3.0,Normal,N,1.75
335,Seviper,0.0,3.0,Poison,N,3.13
336,Lunatone,0.0,3.0,Rock,N,3
337,Solrock,0.0,3.0,Rock,N,3
338,Barboach,0.0,3.0,Water,N,3.75
339,Whiscash,1.0,3.0,Water,N,2.6
340,Corphish,0.0,3.0,Water,N,3.5
341,Crawdaunt,1.0,3.0,Water,N,3
342,Baltoy,0.0,3.0,Ground,N,1.75
343,Claydol,1.0,3.0,Ground,N,1.1
344,Lileep,0.0,3.0,Rock,N,2.5
345,Cradily,1.0,3.0,Rock,N,2.8
346,Anorith,0.0,3.0,Rock,N,2.5
347,Armaldo,1.0,3.0,Rock,N,3.2
348,Feebas,0.0,3.0,Water,N,2.25
349,Milotic,1.0,3.0,Water,N,4
350,Castform,0.0,3.0,Normal,N,3
351,Kecleon,0.0,3.0,Normal,N,2.25
352,Shuppet,0.0,3.0,Ghost,N,2.5
353,Banette,1.0,3.0,Ghost,N,3.2
354,Duskull,0.0,3.0,Ghost,N,2.25
355,Dusclops,1.0,3.0,Ghost,N,1.75
356,Tropius,0.0,3.0,Grass,N,4.25
357,Chimecho,1.0,3.0,Psychic,N,3.75
358,Absol,0.0,3.0,Dark,N,3.25
359,Wynaut,0.0,3.0,Psychic,N,3.25
360,Snorunt,0.0,3.0,Ice,N,3.5
361,Glalie,1.0,3.0,Ice,N,1.6
362,Spheal,0.0,3.0,Ice,N,5
363,Sealeo,1.0,3.0,Ice,N,3.8
364,Walrein,2.0,3.0,Ice,N,2
365,Clamperl,0.0,3.0,Water,N,3
366,Huntail,1.0,3.0,Water,N,1.8
367,Gorebyss,1.0,3.0,Water,N,2.8
368,Relicanth,0.0,3.0,Water,N,3.4
369,Luvdisc,0.0,3.0,Water,N,3.5
370,Bagon,0.0,3.0,Dragon,N,3.5
371,Shelgon,1.0,3.0,Dragon,N,2.6
372,Salamence,2.0,3.0,Dragon,N,3.8
373,Beldum,0.0,3.0,Steel,N,2.38
374,Metang,1.0,3.0,Steel,N,2.6
375,Metagross,2.0,3.0,Steel,N,4
376,Regirock,0.0,3.0,Rock,Y,3.3
377,Regice,0.0,3.0,Ice,Y,3.7
378,Registeel,0.0,3.0,Steel,Y,3.6
379,Latias,0.0,3.0,Dragon,Y,4
380,Latios,0.0,3.0,Dragon,Y,3.8
381,Kyogre,0.0,3.0,Water,Y,4.6
382,Groudon,0.0,3.0,Ground,Y,4.1
383,Rayquaza,0.0,3.0,Dragon,Y,4.8
384,Jirachi,0.0,3.0,Steel,Y,4.8
385,Deoxys,0.0,3.0,Psychic,Y,4.2
386,Turtwig,0.0,4.0,Grass,N,5
387,Grotle,1.0,4.0,Grass,N,4.25
388,Torterra,2.0,4.0,Grass,N,4.4
389,Chimchar,0.0,4.0,Fire,N,3
390,Monferno,1.0,4.0,Fire,N,2.4
391,Infernape,2.0,4.0,Fire,N,3.4
392,Piplup,0.0,4.0,Water,N,4.75
393,Prinplup,1.0,4.0,Water,N,3.6
394,Empoleon,2.0,4.0,Water,N,3.6
395,Starly,0.0,4.0,Normal,N,3.88
396,Staravia,1.0,4.0,Normal,N,3.2
397,Staraptor,2.0,4.0,Normal,N,4.1
398,Bidoof,0.0,4.0,Normal,N,3.75
399,Bibarel,1.0,4.0,Normal,N,3
400,Kricketot,0.0,4.0,Bug,N,2.5
401,Kricketune,1.0,4.0,Bug,N,1.3
402,Shinx,0.0,4.0,Electric,N,5
403,Luxio,1.0,4.0,Electric,N,5
404,Luxray,2.0,4.0,Electric,N,5
405,Budew,0.0,4.0,Grass,N,4.3
406,Roserade,2.0,4.0,Grass,N,3.25
407,Cranidos,0.0,4.0,Rock,N,3.5
408,Rampardos,1.0,4.0,Rock,N,3.2
409,Shieldon,0.0,4.0,Rock,N,4.25
410,Bastiodon,1.0,4.0,Rock,N,3.9
411,Burmy,0.0,4.0,Bug,N,2
412,Wormadam,1.0,4.0,Bug,N,2.25
413,Mothim,1.0,4.0,Bug,N,3.8
414,Combee,0.0,4.0,Bug,N,4
415,Vespiquen,1.0,4.0,Bug,N,3
416,Pachirisu,0.0,4.0,Electric,N,3.75
417,Buizel,0.0,4.0,Water,N,4
418,Floatzel,1.0,4.0,Water,N,3.75
419,Cherubi,0.0,4.0,Grass,N,2.88
420,Cherrim,1.0,4.0,Grass,N,2.75
421,Shellos,0.0,4.0,Water,N,3
422,Gastrodon,1.0,4.0,Water,N,4.1
423,Ambipom,1.0,4.0,Normal,N,2.25
424,Drifloon,0.0,4.0,Ghost,N,3.3
425,Drifblim,1.0,4.0,Ghost,N,3
426,Buneary,0.0,4.0,Normal,N,3.5
427,Lopunny,1.0,4.0,Normal,N,3.2
428,Mismagius,1.0,4.0,Ghost,N,2.4
429,Honchkrow,1.0,4.0,Dark,N,2.2
430,Glameow,0.0,4.0,Normal,N,3
431,Purugly,1.0,4.0,Normal,N,1.8
432,Chingling,0.0,4.0,Psychic,N,3.75
433,Stunky,0.0,4.0,Poison,N,1.5
434,Skuntank,1.0,4.0,Poison,N,1.2
435,Bronzor,0.0,4.0,Steel,N,2.5
436,Bronzong,1.0,4.0,Steel,N,2.25
437,Bonsly,0.0,4.0,Rock,N,3.25
438,Mime Jr.,0.0,4.0,Psychic,N,3.6
439,Happiny,0.0,4.0,Normal,N,2.88
440,Chatot,0.0,4.0,Normal,N,2.5
441,Spiritomb,0.0,4.0,Ghost,N,2.2
442,Gible,0.0,4.0,Dragon,N,3.63
443,Gabite,1.0,4.0,Dragon,N,3
444,Garchomp,2.0,4.0,Dragon,N,4
446,Munchlax,0.0,4.0,Normal,N,3.5
447,Riolu,0.0,4.0,Fighting,N,4.25
448,Lucario,1.0,4.0,Fighting,N,4.5
449,Hippopotas,0.0,4.0,Ground,N,2.5
450,Hippowdon,1.0,4.0,Ground,N,2
451,Skorupi,0.0,4.0,Poison,N,3.13
452,Drapion,1.0,4.0,Poison,N,1.5
453,Croagunk,0.0,4.0,Poison,N,3.13
454,Toxicroak,1.0,4.0,Poison,N,1.6
455,Carnivine,0.0,4.0,Grass,N,2.63
456,Finneon,0.0,4.0,Water,N,2.75
457,Lumineon,1.0,4.0,Water,N,2.3
458,Mantyke,0.0,4.0,Water,N,4
459,Snover,0.0,4.0,Grass,N,4
460,Abomasnow,1.0,4.0,Grass,N,3.2
461,Weavile,1.0,4.0,Dark,N,3.4
462,Magnezone,2.0,4.0,Electric,N,3.2
463,Lickilicky,1.0,4.0,Normal,N,2.8
464,Rhyperior,2.0,4.0,Ground,N,1.5
465,Tangrowth,1.0,4.0,Grass,N,2.5
466,Electivire,2.0,4.0,Electric,N,3.6
467,Magmortar,2.0,4.0,Fire,N,2.6
468,Togekiss,2.0,4.0,Fairy,N,4.6
469,Yanmega,1.0,4.0,Bug,N,2
470,Leafeon,1.0,4.0,Grass,N,4.38
471,Glaceon,1.0,4.0,Ice,N,4.38
472,Gliscor,1.0,4.0,Ground,N,3.6
473,Mamoswine,2.0,4.0,Ice,N,1.6
474,Porygon-Z,2.0,4.0,Normal,N,2.8
475,Gallade,2.0,4.0,Psychic,N,3.8
476,Probopass,1.0,4.0,Rock,N,1.8
477,Dusknoir,2.0,4.0,Ghost,N,2.9
478,Froslass,1.0,4.0,Ice,N,3.2
479,Rotom,0.0,4.0,Electric,N,4
480,Uxie,0.0,4.0,Psychic,Y,4.2
481,Mesprit,0.0,4.0,Psychic,Y,4.2
482,Azelf,0.0,4.0,Psychic,Y,4.6
483,Dialga,0.0,4.0,Steel,Y,4.8
484,Palkia,0.0,4.0,Water,Y,3.2
485,Heatran,0.0,4.0,Fire,Y,2.67
486,Regigigas,0.0,4.0,Normal,Y,4
487,Giratina,0.0,4.0,Ghost,Y,4.4
488,Cresselia,0.0,4.0,Psychic,Y,3
489,Phione,0.0,4.0,Water,Y,4
490,Manaphy,0.0,4.0,Water,Y,4
491,Darkrai,0.0,4.0,Dark,Y,3.8
492,Shaymin,0.0,4.0,Grass,Y,4.6
493,Arceus,0.0,4.0,Normal,Y,4.5
494,Victini,0.0,5.0,Psychic,Y,3.7
495,Snivy,0.0,5.0,Grass,N,4.25
496,Servine,1.0,5.0,Grass,N,4.13
497,Serperior,2.0,5.0,Grass,N,4.13
498,Tepig,0.0,5.0,Fire,N,3
499,Pignite,1.0,5.0,Fire,N,2.2
500,Emboar,2.0,5.0,Fire,N,1.8
501,Oshawott,0.0,5.0,Water,N,5
502,Dewott,1.0,5.0,Water,N,5
503,Samurott,2.0,5.0,Water,N,5
504,Patrat,0.0,5.0,Normal,N,2
505,Watchog,1.0,5.0,Normal,N,1.5
506,Lillipup,0.0,5.0,Normal,N,5
507,Herdier,1.0,5.0,Normal,N,5
508,Stoutland,2.0,5.0,Normal,N,5
509,Purrloin,0.0,5.0,Dark,N,3.75
510,Liepard,1.0,5.0,Dark,N,3.3
511,Pansage,0.0,5.0,Grass,N,3.75
512,Simisage,1.0,5.0,Grass,N,2.6
513,Pansear,0.0,5.0,Fire,N,3.5
514,Simisear,1.0,5.0,Fire,N,2.6
515,Panpour,0.0,5.0,Water,N,3.5
516,Simipour,1.0,5.0,Water,N,2.6
517,Munna,0.0,5.0,Psychic,N,3.25
518,Musharna,1.0,5.0,Psychic,N,2.8
519,Pidove,0.0,5.0,Normal,N,3.5
520,Tranquill,1.0,5.0,Normal,N,2.6
521,Unfezant,2.0,5.0,Normal,N,2.6
522,Blitzle,0.0,5.0,Electric,N,3.88
523,Zebstrika,1.0,5.0,Electric,N,3.9
524,Roggenrola,0.0,5.0,Rock,N,3.5
525,Boldore,1.0,5.0,Rock,N,3.2
526,Gigalith,2.0,5.0,Rock,N,3.4
527,Woobat,0.0,5.0,Psychic,N,2.5
528,Swoobat,1.0,5.0,Psychic,N,1.8
529,Drilbur,0.0,5.0,Ground,N,3.25
530,Excadrill,1.0,5.0,Ground,N,3.3
531,Audino,0.0,5.0,Normal,N,3.75
532,Timburr,0.0,5.0,Fighting,N,2.5
533,Gurdurr,1.0,5.0,Fighting,N,1
534,Conkeldurr,2.0,5.0,Fighting,N,1
535,Tympole,0.0,5.0,Water,N,2
536,Palpitoad,1.0,5.0,Water,N,1.2
537,Seismitoad,2.0,5.0,Water,N,1.4
538,Throh,0.0,5.0,Fighting,N,2.75
539,Sawk,0.0,5.0,Fighting,N,3
540,Sewaddle,0.0,5.0,Bug,N,4
541,Swadloon,1.0,5.0,Bug,N,4
542,Leavanny,2.0,5.0,Bug,N,4
543,Venipede,0.0,5.0,Bug,N,3.63
544,Whirlipede,1.0,5.0,Bug,N,3.9
545,Scolipede,2.0,5.0,Bug,N,4.1
546,Cottonee,0.0,5.0,Grass,N,3.13
547,Whimsicott,1.0,5.0,Grass,N,3.4
548,Petilil,0.0,5.0,Grass,N,3.75
549,Lilligant,1.0,5.0,Grass,N,3.8
550,Basculin,0.0,5.0,Water,N,2.5
